System,Dataset,Average MAE Comparison per dataset file per model,,,,,,,,
,,ANN_tuned,ANN,Voting_Regressor_Tuned,Voting_Regressor,Random_Forest_Tuned,Random_Forest,XGBoost_Regressor_Tuned,XGBoost_Regressor,Linear_Regression (Baseline)
batlik,corona.csv,0.0798,0.2307,0.0595,0.0779,0.0445,0.0486,0.0438,0.0531,0.1815
batlik,cranium.csv,0.078,0.424,0.0378,0.0409,0.0376,0.0406,0.0362,0.0441,0.0692
batlik,cubus.csv,0.1934,0.8431,0.1142,0.1295,0.108,0.1163,0.104,0.1268,0.2425
batlik,flame.csv,0.0597,0.3318,0.0337,0.0363,0.0335,0.036,0.0323,0.0389,0.0576
batlik,france.csv,0.1313,0.7448,0.0757,0.0822,0.0742,0.0793,0.0724,0.087,0.1449
batlik,frisco.csv,0.1779,0.6904,0.1387,0.152,0.1378,0.1498,0.132,0.1656,0.247
batlik,jelly.csv,0.0943,0.4141,0.0719,0.1101,0.0394,0.0435,0.0393,0.0505,0.3248
batlik,karte.csv,0.4505,3.0922,0.38,0.5432,0.2157,0.2427,0.2177,0.2707,1.4917
batlik,mandelbrot.csv,0.0463,0.1032,0.027,0.0315,0.0248,0.0274,0.0243,0.0302,0.0615
batlik,strawberry.csv,0.0605,0.2372,0.0387,0.0455,0.0354,0.0382,0.0343,0.0418,0.0942
batlik,village.csv,0.4254,2.0008,0.3612,0.5979,0.0986,0.1025,0.1015,0.132,1.8075
dconvert,jpeg-large.csv,0.1366,0.1476,0.1234,0.1677,0.083,0.0919,0.0809,0.0875,0.4166
dconvert,jpeg-medium.csv,0.0652,0.0903,0.0512,0.0699,0.0354,0.0394,0.0341,0.0372,0.1775
dconvert,jpeg-small.csv,0.0175,0.0261,0.013,0.0132,0.0131,0.0146,0.0129,0.0135,0.015
dconvert,png-large.csv,0.0817,0.0985,0.0705,0.091,0.0562,0.0612,0.0548,0.0584,0.2183
dconvert,png-medium.csv,0.0231,0.036,0.0158,0.0165,0.0158,0.0175,0.0155,0.0163,0.0231
dconvert,png-small.csv,0.0183,0.0275,0.0137,0.0138,0.0139,0.0157,0.0135,0.0145,0.0149
dconvert,psd-large.csv,0.9613,0.9371,0.5271,0.5358,0.5281,0.5861,0.5272,0.5784,0.535
dconvert,psd-medium.csv,0.0399,0.0538,0.0317,0.0356,0.0297,0.0327,0.0287,0.031,0.0672
dconvert,psd-small.csv,0.0233,0.0313,0.0188,0.019,0.0189,0.0212,0.0187,0.0199,0.02
dconvert,svg-large.csv,0.0327,0.0386,0.0307,0.0312,0.0308,0.0353,0.0307,0.0337,0.0307
dconvert,svg-medium.csv,0.0288,0.0393,0.0261,0.0263,0.026,0.0296,0.0261,0.0282,0.0265
dconvert,svg-small.csv,0.0191,0.0291,0.013,0.0137,0.0126,0.0144,0.0126,0.0132,0.0202
h2,smallbank-1.csv,18493.7532,19811.6144,715.2631,762.8556,685.753,725.6032,700.3223,816.3125,1128.1618
h2,smallbank-10.csv,12397.6219,13701.1788,296.0073,335.4798,271.8972,293.1506,277.2572,332.1533,629.9689
h2,tpcc-2.csv,32.015,718.4511,19.8753,20.8362,19.4175,20.6659,19.69,22.9871,30.522
h2,tpcc-8.csv,115.8644,614.2431,104.0616,106.7468,104.4964,107.3795,105.1563,128.4279,106.6592
h2,voter-16.csv,31135.3305,32432.1168,670.4917,908.1926,512.3894,561.719,511.1006,643.122,2397.7528
h2,voter-2.csv,30997.2602,32308.8156,681.0768,942.5031,497.9584,546.9439,500.9625,624.2372,2511.4664
h2,ycsb-2400.csv,12633.1271,13976.8496,577.7555,653.5243,534.292,571.7827,536.2971,634.3149,1277.5203
h2,ycsb-600.csv,19090.7012,20502.2353,740.965,846.452,661.9081,726.266,680.2725,816.6959,1682.7746
jump3r,beethoven.wav.csv,1.9078,2.0182,1.6347,1.7253,1.6149,1.6229,1.6072,1.6122,2.2537
jump3r,dual-channel.wav.csv,0.5293,0.6059,0.4529,0.477,0.4506,0.4549,0.4367,0.4436,0.6149
jump3r,helix.wav.csv,0.953,1.0685,0.8364,0.8748,0.8285,0.8385,0.8246,0.834,1.0969
jump3r,single-channel.wav.csv,0.2928,0.3253,0.2549,0.2641,0.2553,0.2582,0.2516,0.2549,0.3239
jump3r,speech.wav.csv,0.7206,0.7721,0.6187,0.6485,0.6155,0.621,0.6095,0.6156,0.8104
jump3r,sweep.wav.csv,0.0662,0.0853,0.0547,0.0562,0.0546,0.0553,0.0538,0.0548,0.0698
kanzi,ambivert.csv,14.7947,24.4686,3.6409,5.9452,1.0226,1.0251,0.8261,0.8812,17.2468
kanzi,artificl.csv,0.1739,0.2317,0.0434,0.068,0.0214,0.0214,0.0196,0.0207,0.1998
kanzi,deepfield.csv,15.1798,23.9142,3.9634,6.5098,0.7952,0.797,0.666,0.7458,19.0464
kanzi,enwik8.csv,30.6997,41.7853,8.1427,13.4471,1.6319,1.6445,1.3182,1.402,39.9632
kanzi,fannie_mae_500k.csv,26.0573,34.1769,7.149,11.787,1.0916,1.0868,0.8675,0.9546,35.0736
kanzi,large.csv,3.3533,5.1037,0.9003,1.4903,0.189,0.1898,0.1497,0.1541,4.429
kanzi,misc.csv,0.3286,0.5403,0.0869,0.1404,0.0372,0.0373,0.0315,0.0327,0.4095
kanzi,silesia.csv,63.7602,84.1247,16.9121,27.9538,3.0996,3.1095,2.5117,2.6028,83.2124
kanzi,vmlinux.csv,87.5002,155.6598,33.5776,55.0768,6.2992,6.4009,6.3767,10.1607,164.772
lrzip,ambivert.wav.tar.csv,13.5907,13.5868,14.3706,16.1904,14.9532,16.8062,14.5778,24.0256,14.3431
lrzip,artificl.tar.csv,1.4852,1.4707,1.1809,1.1859,1.1695,1.1588,1.1875,1.2716,1.2602
lrzip,deepfield.tar.csv,13.1117,13.4185,14.0065,15.752,14.4959,16.3662,13.9967,23.1048,14.0386
lrzip,enwik8.tar.csv,21.3787,21.3063,19.0775,20.9672,19.5797,21.5693,19.3001,30.1951,19.0304
lrzip,fannie_mae_500k.tar.csv,28.6424,39.0011,5.0777,5.7833,5.2869,5.9034,5.073,8.1315,5.1989
lrzip,large.tar.csv,2.2281,3.4591,2.1618,2.405,2.2299,2.4326,2.1736,3.216,2.2352
lrzip,misc.tar.csv,1.3711,1.5788,1.2253,1.213,1.1999,1.1829,1.2552,1.3726,1.2662
lrzip,silesia.tar.csv,33.4267,33.4511,32.2945,35.3643,33.0085,36.4492,32.66,50.6952,32.0605
lrzip,uiq-32.bin.csv,46.33,46.1908,54.5048,58.6024,54.9824,60.5127,55.2214,83.5812,53.5451
lrzip,uiq2-16.bin.csv,26.0179,26.0144,29.6484,32.6712,30.2765,33.6299,29.9105,47.6754,29.3332
lrzip,uiq2-4.bin.csv,5.8755,7.9702,6.9765,7.9048,7.1972,8.1434,7.0006,11.349,7.0371
lrzip,uiq2-8.bin.csv,14.8089,14.3039,14.609,16.2447,15.0422,16.6584,14.6298,23.3784,14.6165
lrzip,vmlinux-5.10.tar.csv,3.9966,6.7533,4.4693,5.1173,4.6601,5.238,4.4643,7.3272,4.5691
x264,blue_sky_1080p25_short.y4m.csv,1.6952,1.9694,1.4299,1.7261,1.1416,1.2014,1.1227,1.2303,3.1537
x264,Johnny_1280x720_60_short.y4m.csv,1.3997,1.5912,1.1705,1.4139,0.9218,0.9656,0.908,1.0067,2.5791
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,4.6338,13.1925,3.9466,4.7754,3.1832,3.3184,3.0878,1.4279,8.7428
x264,pedestrian_area_1080p25_short.y4m.csv,2.015,2.2734,1.6392,1.9724,1.342,1.4128,1.2979,2.7736,3.5801
x264,riverbed_1080p25_short.y4m.csv,3.4989,7.7783,3.1149,3.7114,2.5721,2.7134,2.4921,0.0525,6.6908
x264,sd_bridge_close_cif_short.y4m.csv,0.0911,0.1675,0.0617,0.0759,0.0507,0.0526,0.0483,0.5711,0.1416
x264,sd_city_4cif_short.y4m.csv,0.8041,0.9694,0.664,0.8052,0.5279,0.5548,0.5141,0.0952,1.4864
x264,sd_crew_cif_short.y4m.csv,0.1465,0.232,0.1102,0.1336,0.0895,0.0937,0.0862,0.1497,0.2464
x264,sintel_trailer_2k_720p24_short.y4m.csv,0.2296,0.3268,0.1698,0.2048,0.1406,0.1458,0.1367,0.7086,0.3712
xz,ambivert.wav.tar.csv,2.9303,21.4631,2.7538,4.4038,0.5533,0.5853,0.5577,0.0068,13.0558
xz,artificl.tar.csv,0.0066,0.1166,0.0063,0.0064,0.0063,0.0067,0.0063,0.432,0.0064
xz,deepfield.tar.csv,1.88,7.7236,1.252,1.972,0.3657,0.385,0.3523,13.2658,5.7308
xz,enwik8.tar.csv,24.7442,98.9319,19.4949,27.4658,8.7824,9.6967,9.8616,1.0798,71.1581
xz,fannie_mae_500k.tar.csv,6.5239,57.1265,6.171,10.1483,0.9599,0.9969,0.9462,0.1129,30.1055
xz,large.tar.csv,0.5435,0.8848,0.3893,0.6296,0.1001,0.1046,0.0977,0.0248,1.8599
xz,misc.tar.csv,0.0595,0.1474,0.0252,0.035,0.0191,0.0207,0.0186,2.9747,0.0874
xz,silesia.tar.csv,15.389,121.7295,12.7199,20.7402,2.5366,2.6085,2.5829,14.0491,61.2955
xz,uiq-32.bin.csv,24.3964,139.9792,19.5037,27.7164,9.9787,10.7124,10.5229,6.8397,72.0909
xz,uiq2-16.bin.csv,11.0027,63.9222,8.7857,12.357,4.718,5.2569,5.177,0.2934,31.998
xz,uiq2-4.bin.csv,1.6045,3.8697,0.9321,1.4876,0.2497,0.2598,0.2506,2.8153,4.3081
xz,uiq2-8.bin.csv,4.2984,22.6799,3.5215,4.7956,1.9639,2.149,2.1525,0.1718,11.8876
xz,vmlinux-5.10.tar.csv,0.6084,1.1069,0.406,0.6453,0.1489,0.1557,0.1504,0.3973,1.8587
z3,AUFNIRA_z3.637557.smt2.csv,33.2135,118.8541,17.6729,29.4509,0.2627,0.2942,0.279,0.0105,88.3607
z3,LRA_formula_277.smt2.csv,0.1711,0.9567,0.064,0.1058,0.0082,0.0089,0.0086,0.531,0.3167
z3,QF_AUFBV_891_sqlite3.smt2.csv,4.948,23.7622,2.1116,3.4502,0.4073,0.4092,0.3734,0.044,10.0088
z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2.csv,0.5563,4.8071,0.1912,0.3172,0.0321,0.0357,0.0342,2.1924,0.9517
z3,QF_BV_bench_3176.smt2.csv,96.5664,152.2179,26.4368,44.0476,1.3732,1.4131,1.5542,1.4551,132.2182
z3,QF_BV_bench_935.smt2.csv,24.9343,105.8567,18.6207,31.0086,0.9601,0.9978,1.0468,0.0117,93.0447
z3,QF_LIA_tightrhombus.csv,0.2663,1.4948,0.1183,0.1956,0.0091,0.0102,0.01,0.0113,0.5836
z3,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2.csv,0.5258,10.2198,0.1496,0.2484,0.0153,0.0172,0.0162,0.0471,0.7431
z3,QF_NRA_hong_9.smt2.csv,0.182,1.3526,0.0089,0.0092,0.0089,0.0099,0.0092,0.2329,0.0092
z3,QF_RDL_orb08_888.smt2.csv,0.3545,6.3538,0.0644,0.0956,0.0361,0.0399,0.0378,0.4406,0.2623
z3,QF_UFLIA_xs_23_43.smt2.csv,3.0763,28.2254,1.6249,2.6999,0.147,0.1721,0.1649,0.219,8.0833
z3,QF_UF_PEQ018_size6.smt2.csv,73.4877,156.8445,32.3485,53.9052,0.3183,0.346,0.3354,0.355,161.7096